sector_id,year,dva
C21,2011,785.443
C21,2012,844.168
C21,2013,960.141
C21,2014,956.604
C21,2015,954.032
C21,2016,1008.323
C21,2017,1122.857
C21,2018,1306.965
C21,2019,1473.624
C21,2020,1589.347
C21,2021,1619.856
C21,2022,1641.158
C22,1995,1671.072
C22,1996,2020.984
C22,1997,1803.524
C22,1998,1402.768
C22,1999,1568.568
C22,2000,1625.867
C22,2001,1612.574
C22,2002,1966.287
C22,2003,2488.072
C22,2004,3040.201
C22,2005,3304.162
C22,2006,4161.056
C22,2007,4901.0
C22,2008,5531.275
C22,2009,4583.666
C22,2010,6055.62
C22,2011,7129.428
C22,2012,7324.604
C22,2013,7448.625
C22,2014,6947.84
C22,2015,6771.188
C22,2016,7319.687
C22,2017,8794.828
C22,2018,8647.286
C22,2019,8675.329
C22,2020,8136.358
C22,2021,8571.66
C22,2022,8116.195
C23,1995,2594.844
C23,1996,2567.509
C23,1997,2029.72
C23,1998,1309.199
C23,1999,1535.696
C23,2000,1518.827
C23,2001,1521.041
C23,2002,1722.04
C23,2003,2026.011
C23,2004,2361.956
C23,2005,2543.831
C23,2006,2854.071
C23,2007,3138.359
C23,2008,3400.058
C23,2009,3201.593
C23,2010,3864.144
C23,2011,4167.682
C23,2012,4358.577
C23,2013,4623.092
C23,2014,4415.995
C23,2015,4250.905
C23,2016,4122.142
C23,2017,4238.799
C23,2018,4718.955
C23,2019,5113.927
C23,2020,4821.127
C23,2021,4865.398
C23,2022,4718.594
C24,1995,1270.246
C24,1996,1415.9
C24,1997,1050.53
C24,1998,946.553
C24,1999,1014.463
C24,2000,983.052
C24,2001,953.76
C24,2002,1059.39
C24,2003,1196.883
C24,2004,1311.654
C24,2005,1380.753
C24,2006,1606.525
C24,2007,1906.735
C24,2008,1973.452
C24,2009,2000.746
C24,2010,2292.705
C24,2011,2371.754
C24,2012,2485.836
C24,2013,2603.403
C24,2014,2514.793
C24,2015,2536.009
C24,2016,2560.991
C24,2017,2821.151
C24,2018,3253.456
C24,2019,3530.564
C24,2020,3355.055
C24,2021,3219.649
C24,2022,3133.898
C241_2431,1995,838.948
C241_2431,1996,945.724
C241_2431,1997,607.523
C241_2431,1998,618.962
C241_2431,1999,686.101
C241_2431,2000,663.469
C241_2431,2001,632.759
C241_2431,2002,686.985
C241_2431,2003,776.743
C241_2431,2004,895.071
C241_2431,2005,978.148
C241_2431,2006,1155.615
C241_2431,2007,1374.878
C241_2431,2008,1295.093
C241_2431,2009,1235.998
C241_2431,2010,1388.002
C241_2431,2011,1504.898
C241_2431,2012,1643.931
C241_2431,2013,1750.96
C241_2431,2014,1637.203
C241_2431,2015,1611.475
C241_2431,2016,1634.059
C241_2431,2017,1817.8
C241_2431,2018,2115.757
C241_2431,2019,2244.652
C241_2431,2020,2073.834
C241_2431,2021,2037.31
C241_2431,2022,1987.726
C242_2432,1995,431.298
C242_2432,1996,470.176
C242_2432,1997,443.007
C242_2432,1998,327.59
C242_2432,1999,328.362
C242_2432,2000,319.583
C242_2432,2001,321.001
C242_2432,2002,372.405
C242_2432,2003,420.14
C242_2432,2004,416.583
C242_2432,2005,402.605
C242_2432,2006,450.91
C242_2432,2007,531.857
C242_2432,2008,678.359
C242_2432,2009,764.748
C242_2432,2010,904.702
C242_2432,2011,866.857
C242_2432,2012,841.906
C242_2432,2013,852.443
C242_2432,2014,877.59
C242_2432,2015,924.534
C242_2432,2016,926.933
C242_2432,2017,1003.352
C242_2432,2018,1137.698
C242_2432,2019,1285.912
C242_2432,2020,1281.221
C242_2432,2021,1182.339
C242_2432,2022,1146.172
C24_25,1995,2627.903
C24_25,1996,3058.898
C24_25,1997,2471.987
C24_25,1998,2029.902
C24_25,1999,2309.549
C24_25,2000,2230.99
C24_25,2001,2129.049
C24_25,2002,2366.835
C24_25,2003,2663.72
C24_25,2004,3115.259
C24_25,2005,3233.672
C24_25,2006,3758.839
C24_25,2007,4433.727
C24_25,2008,4773.254
C24_25,2009,4248.602
C24_25,2010,5063.239
C24_25,2011,5352.849
C24_25,2012,5568.589
C24_25,2013,5708.284
C24_25,2014,5565.5
C24_25,2015,5543.347
C24_25,2016,5721.205
C24_25,2017,6354.135
C24_25,2018,7220.519
C24_25,2019,7729.218
C24_25,2020,7436.68
C24_25,2021,7407.186
C24_25,2022,7066.078
C25,1995,1357.657
C25,1996,1642.998
C25,1997,1421.457
C25,1998,1083.349
C25,1999,1295.085
C25,2000,1247.938
C25,2001,1175.289
C25,2002,1307.445
C25,2003,1466.837
C25,2004,1803.605
C25,2005,1852.919
C25,2006,2152.314
C25,2007,2526.992
C25,2008,2799.802
C25,2009,2247.857
C25,2010,2770.535
C25,2011,2981.095
C25,2012,3082.752
