"","A01","A02","A03","B05","B06","B07","B08","B09","C10T12","C13T15","C16","C17_18","C19","C20","C21","C22","C23","C24A","C24B","C25","C26","C27","C28","C29","C301","C302T309","C31T33","D","E","F","G","H49","H50","H51","H52","H53","I","J58T60","J61","J62_63","K","L","M","N","O","P","Q","R","S","T","HFCE","NPISH","GGFC","GFCF","INVNT","DPABR","CONS_NONRES","EXPO","..","TOTAL"
"DOM_Q",1.55,0.152,0.729,0.131,0.634,0.008,0.06,0.025,5.474,2.946,0.229,0.71,0.076,1.232,0.54,2.307,1.968,0.169,0.169,1.591,12.489,1.56,1.516,3.848,0.247,0.557,5.181,1.158,0.577,3.663,12.441,4.563,0.309,0.932,0.246,0.302,9.332,1.161,0.587,0.551,3.044,0.51,3.193,3.011,12.437,12.162,69.79,1.128,3.854,0,2000.919,497.502,13361.394,0.144,0,0,457.759,0.246,0,16509.011
"DOM_R",4.867,0.596,1.593,0.173,2.258,0.038,1.189,0.012,22.094,12.589,1.03,3.748,0.245,4.609,0.617,5.948,5.089,0.501,0.476,3.142,31.88,2.891,6.442,21.689,1.365,2.276,30.019,5.569,1.544,16.314,98.432,12.867,5.106,5.216,1.538,1.159,213.286,363.647,6.394,3.277,12.48,3.862,40.479,70.722,84.679,100.762,13.989,252.227,72.687,0,653.981,1424.622,505.053,0.168,0.05,0,136.601,24.574,0,4298.663
"DOM_S",18.009,2.16,21.758,1.127,24.674,0.279,6.99,1.118,83.09,97.914,7.1,10.707,1.196,14.431,3.346,22.809,22.842,5.689,1.976,20.723,235.146,14.279,16.282,43.321,1.878,7.97,89.345,13.94,12.731,53.148,248.178,56.949,16.51,31.765,6.518,5.651,246.823,28.077,43.351,24.276,103.17,20.461,54.43,71.177,75.001,128.291,61.573,19.6,188.614,0,4162.643,1453.066,55.703,34.072,0.01,0,1012.954,0.405,0,9005.247
"DOM_T",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,731.44,0,0,0,0,0,0,0,0,731.44
"IMP_A01",522.214,3.28,7.169,0.017,0.276,0.002,0.123,0.014,1567.161,70.871,3.271,0.592,0.265,7.9,1.539,7.878,0.408,0.083,0.046,0.188,2.731,0.324,0.544,1.197,0.054,0.167,6.536,1.436,0.164,3.127,22.622,1.088,0.477,0.344,0.157,0.047,164.384,0.307,0.132,0.092,0.26,0.254,1.044,1.09,2.435,4.015,4.772,0.608,2.234,0,1332.815,0.385,28.531,9.856,0.925,44.753,0,0,0,3833.204
"IMP_A02",11.222,24.82,0.352,0.053,0.08,0.001,0.052,0.001,14.169,1.9,87.883,5.952,0.029,0.779,0.047,6.375,0.31,0.028,0.018,0.035,0.182,0.034,0.069,0.119,0.016,0.017,21.718,2.723,0.009,1.874,2.7,0.089,0.03,0.024,0.011,0.006,2.982,0.042,0.017,0.01,0.015,0.042,0.042,0.054,0.45,0.33,0.145,0.087,0.174,0,70.589,0.741,0.14,0.197,0.062,0.581,0,0,0,260.428
"IMP_A03",2.1,0.016,14,0.003,0.037,0,0.016,0.001,55.207,0.434,0.038,0.067,0.052,0.67,0.044,0.58,0.083,0.018,0.01,0.035,0.386,0.052,0.05,0.158,0.166,0.055,0.283,0.09,0.011,0.099,0.666,0.117,0.366,0.039,0.02,0.007,13.535,0.03,0.008,0.006,0.014,0.013,0.029,0.044,0.179,0.175,0.155,0.024,0.068,0,64.796,0.032,0.537,0.616,0.182,2.525,0,0,0,158.946
"IMP_B05",5.531,0.122,0.079,11.52,5.368,0.195,4.921,0.621,16.296,11.839,0.74,6.801,23.743,34.793,0.203,6.331,89.198,128.964,17.593,0.598,3.109,1.497,1.643,2.844,0.326,1.262,2.289,958.949,0.346,19.811,3.227,2.466,0.094,0.144,0.144,0.028,3.299,0.063,0.079,0.023,0.048,0.482,0.247,0.166,2.919,4.582,0.323,0.036,1.655,0,1.154,0.001,0.065,0.561,0.126,0.098,0,0,0,1379.563
"IMP_B06",31.288,0.302,3.832,42.104,1757.969,3.123,164.221,18.009,576.621,190.331,33.963,228.633,13970.553,3411.226,8.463,329.719,1311.918,506.841,289.943,161.565,184.645,41.124,67.582,221.71,10.159,46.576,316.276,18801.501,29.94,169.392,456.604,133.156,10.857,7.59,25.355,6.518,76.173,6.95,3.043,3.052,9.056,27.509,43.704,26.186,101.551,86.614,9.252,3.739,13.623,0,10.495,0.016,1.195,8.37,1.702,1.583,0,0,0,44003.424
"IMP_B07",0.715,0.017,0.048,0.18,1.402,0.413,2.566,0.158,3.532,1.575,0.335,0.457,0.83,9.593,0.188,3.655,14.778,57.55,90.341,28.98,98.023,33.797,19.52,41.766,0.929,6.394,38.652,3.63,0.523,15.985,2.286,0.488,0.131,0.094,0.057,0.016,0.546,0.067,0.041,0.025,0.085,0.162,0.344,0.139,0.229,0.195,0.069,0.051,0.251,0,0.968,0.004,0.34,0.327,0.018,0.31,0,0,0,483.771
"IMP_B08",6.466,0.066,0.6,0.187,1.764,0.051,13.898,0.221,5.605,3.86,0.266,1.422,1.601,21.581,0.35,7.117,123.994,7.082,2.359,1.039,4.689,1.13,0.968,1.968,0.089,0.201,7.27,5.885,0.358,83.802,1.174,0.606,0.496,0.16,0.06,0.016,0.872,0.087,0.021,0.014,0.033,0.487,0.211,0.235,0.748,0.288,0.133,0.041,0.313,0,5.413,0.004,0.219,1.633,0.364,0.309,0,0,0,319.828
"IMP_B09",0.636,0.01,2.234,1.517,92.972,0.181,12.412,5.316,2.062,0.641,0.136,1.061,34.159,7.91,0.047,1.444,9.237,1.888,1.178,0.54,1.132,0.234,0.42,0.926,0.042,0.182,1.168,50.213,0.13,7.313,1.643,1.161,0.35,0.464,0.166,0.069,0.421,0.132,0.033,0.021,0.073,0.144,0.377,0.137,0.399,0.342,0.055,0.024,0.082,0,1.13,0.004,6.613,59.887,0.15,0.177,0,0,0,311.398
"IMP_C10T12",634.87,0.399,62.801,0.096,1.255,0.018,0.966,0.061,1708.811,55.286,1.611,6.988,1.745,61.333,7.224,31.248,6.252,0.951,0.632,2.479,25.121,3.208,3.733,9.472,0.52,1.295,24.552,3.515,0.858,8.284,65.639,3.966,4.712,1.963,0.677,0.303,1064.425,3.806,1.12,0.799,1.912,1.648,2.997,3.494,12.077,32.416,21.564,5.751,7.924,0,6550.796,4.12,50.942,10.175,5.623,144.764,0,0,0,10669.197
